disasterNumber,State,Title, FederalFunded ,ProjectAmount
1750,Georgia,SEVERE STORMS AND TORNADOES," $3,505,637.41 ",4688493.22
4205,Mississippi,SEVERE STORMS AND TORNADOES," $2,967,657.47 ",3817821.52
4362,Alabama,SEVERE STORMS AND TORNADOES," $755,420.82 ",1007227.76
1820,Oklahoma,SEVERE STORMS AND TORNADOES," $729,454.15 ",964746.81
1784,Vermont,"SEVERE STORMS, A TORNADO, AND FLOODING"," $449,482.54 ",597800.07
1776,Kansas,"SEVERE STORMS, FLOODING AND TORNADOES"," $55,113,413.20 ",73191585.09
4007,Wyoming,"SEVERE STORMS, FLOODING, AND LANDSLIDES"," $5,477,828.79 ",7283860.16
4062,Hawaii,"SEVERE STORMS, FLOODING, AND LANDSLIDES"," $3,179,371.91 ",4186682.85
1852,Maine,"SEVERE STORMS, FLOODING, AND LANDSLIDES"," $2,915,456.44 ",3886840.25
4192,American Samoa,"SEVERE STORMS, FLOODING, AND LANDSLIDES"," $665,370.98 ",882929.29
4152,New Mexico,"SEVERE STORMS, FLOODING, AND MUDSLIDES"," $42,094,920.67 ",55691605.44
4288,Wisconsin,"SEVERE STORMS, FLOODING, AND MUDSLIDES"," $8,709,663.76 ",11504558.84
1925,Kentucky,"SEVERE STORMS, FLOODING, AND MUDSLIDES"," $6,010,738.74 ",8014317.04
4141,Wisconsin,"SEVERE STORMS, FLOODING, AND MUDSLIDES"," $5,929,850.42 ",7778668.02
4206,California,"SEVERE STORMS, FLOODING, AND MUDSLIDES"," $1,150,252.87 ",1274597.85
1766,Indiana,"SEVERE STORMS, FLOODING, AND TORNADOES"," $101,571,388.97 ",132091108
1930,Iowa,"SEVERE STORMS, FLOODING, AND TORNADOES"," $52,178,015.97 ",69179777.15
1934,Missouri,"SEVERE STORMS, FLOODING, AND TORNADOES"," $17,450,052.93 ",23384592.3
1850,Illinois,"SEVERE STORMS, FLOODING, AND TORNADOES"," $15,612,814.36 ",20854380.54
4009,Minnesota,"SEVERE STORMS, FLOODING, AND TORNADOES"," $11,095,538.36 ",14663112.53
1932,Kansas,"SEVERE STORMS, FLOODING, AND TORNADOES"," $7,384,786.30 ",9810416.45
1853,Nebraska,"SEVERE STORMS, FLOODING, AND TORNADOES"," $4,491,366.48 ",5978147.3
1808,Kansas,"SEVERE STORMS, FLOODING, AND TORNADOES"," $3,364,325.10 ",4447932.43
1758,Arkansas,"SEVERE STORMS, FLOODING, AND TORNADOES"," $2,676,958.28 ",3564491.27
1788,Maine,"SEVERE STORMS, FLOODING, AND TORNADOES"," $2,660,766.77 ",3547342.44
1837,Mississippi,"SEVERE STORMS, FLOODING, AND TORNADOES"," $2,643,437.02 ",3517001.86
4145,Colorado,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $344,936,069.38 ",455647697.4
4273,West Virginia,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $120,020,758.52 ",159536061.5
1734,Washington,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $61,387,681.08 ",81237696.8
1733,Oregon,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $56,118,403.73 ",74230041.37
4331,West Virginia,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $13,410,410.87 ",17859315.64
1796,Alaska,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $12,186,818.01 ",16073750.96
4146,North Carolina,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $10,055,751.14 ",13298663.24
4219,West Virginia,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $9,345,621.47 ",12432387.84
4221,West Virginia,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $7,542,561.86 ",10039649.7
4220,West Virginia,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $7,386,429.19 ",9831768.71
4196,Kentucky,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $5,773,235.99 ",7590480.34
4313,Idaho,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $5,273,855.76 ",6966339.91
4103,North Carolina,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $3,397,380.52 ",3772667.1
4282,Hawaii,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $3,372,503.81 ",4133576.1
4153,North Carolina,"SEVERE STORMS, FLOODING, LANDSLIDES, MUDSLIDES"," $7,206,937.05 ",9534993.62
1838,West Virginia,"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES"," $21,409,371.72 ",23080284.69
4004,Puerto Rico,"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES"," $7,427,467.35 ",9823754.68
1893,West Virginia,"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES"," $5,802,632.98 ",7787673.3
1918,West Virginia,"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES"," $5,659,644.93 ",7542376.51
